STARTDATE,ENDDATE,lastMonth,lastYear,SameMonth,MAXMINRATIO,LOW,HIGH
2016-01-01,2016-02-13,,,Normal,1.288981288981289,YES,NO
2016-01-08,2016-02-20,,,Normal,1.2733887733887734,YES,NO
2016-01-15,2016-02-27,,,Normal,1.351351351351351,NO,YES
2016-01-22,2016-03-05,,,Normal,1.6632016632016633,NO,NO
2016-01-29,2016-03-12,,,Normal,1.7671517671517671,NO,NO
2016-02-01,2016-03-15,Normal,,Normal,1.7671517671517671,NO,NO
2016-02-08,2016-03-22,Normal,,Normal,1.6966067864271457,NO,NO
2016-02-15,2016-03-29,Normal,,Normal,1.6966067864271457,NO,NO
2016-02-22,2016-04-05,Normal,,Normal,1.663893510815308,NO,NO
2016-02-29,2016-04-12,Normal,,Normal,1.4621968616262482,NO,NO
2016-03-07,2016-04-19,Normal,,Normal,1.5020020093150006,NO,NO
2016-03-14,2016-04-26,Normal,,Normal,1.5691868758915837,NO,NO
2016-03-21,2016-05-03,Normal,,Normal,1.4980026631158456,NO,NO
2016-03-28,2016-05-10,Normal,,Normal,1.452784503631961,NO,NO
2016-04-04,2016-05-17,Normal,,Normal,1.2295081967213115,NO,NO
2016-04-11,2016-05-24,Normal,,Normal,1.2237762237762235,NO,NO
2016-04-18,2016-05-31,Normal,,Normal,1.228771228771229,NO,NO
2016-04-25,2016-06-07,Normal,,Normal,1.2787212787212787,NO,NO
2016-05-02,2016-06-14,Normal,,Normal,1.1807447774750226,NO,NO
2016-05-09,2016-06-21,Normal,,Normal,1.1989574283231972,NO,NO
2016-05-16,2016-06-28,Normal,,Normal,1.1904761904761905,NO,NO
2016-05-23,2016-07-05,Normal,,Normal,1.186511240632806,NO,NO
2016-05-30,2016-07-12,Normal,,Normal,1.2489592006661117,NO,NO
2016-06-06,2016-07-19,Normal,,Normal,1.2190247801758594,NO,NO
2016-06-13,2016-07-26,Normal,,Normal,1.2539184952978055,NO,NO
2016-06-20,2016-08-02,Normal,,Normal,1.2213175425610658,NO,NO
2016-06-27,2016-08-09,Normal,,Normal,1.2213175425610658,NO,NO
2016-07-04,2016-08-16,Normal,,Normal,1.2134189864382583,NO,NO
2016-07-11,2016-08-23,Normal,,Normal,1.2134189864382583,NO,NO
2016-07-18,2016-08-30,Normal,,Normal,1.2134189864382583,NO,NO
2016-07-25,2016-09-06,Normal,,Normal,1.2134189864382583,NO,NO
2016-08-01,2016-09-13,Anomaly,,Normal,1.2583271650629164,NO,NO
2016-08-08,2016-09-20,Anomaly,,Normal,1.306687163720215,NO,NO
2016-08-15,2016-09-27,Anomaly,,Normal,1.2905911740216487,NO,NO
2016-08-22,2016-10-04,Anomaly,,Normal,1.2656119900083265,NO,NO
2016-08-29,2016-10-11,Anomaly,,Normal,1.2656119900083265,NO,NO
2016-09-05,2016-10-18,Anomaly,,Normal,1.2433392539964476,NO,NO
2016-09-12,2016-10-25,Anomaly,,Normal,1.2433392539964476,NO,NO
2016-09-19,2016-11-01,Anomaly,,Normal,1.1545293072824157,NO,NO
2016-09-26,2016-11-08,Anomaly,,Normal,1.236917221693625,NO,NO
2016-10-03,2016-11-15,Anomaly,,Normal,1.2237762237762235,NO,NO
2016-10-10,2016-11-22,Anomaly,,Normal,1.529338327091136,NO,YES
2016-10-17,2016-11-29,Anomaly,,Normal,1.7751479289940828,NO,YES
2016-10-24,2016-12-06,Anomaly,,Normal,2.177858439201452,NO,YES
2016-10-31,2016-12-13,Anomaly,,Normal,2.1145968356398384,NO,YES
2016-11-07,2016-12-20,Anomaly,,Normal,2.1956087824351296,YES,NO
2016-11-14,2016-12-27,Anomaly,,Normal,2.045908183632734,YES,NO
2016-11-21,2017-01-03,Anomaly,,Normal,1.996007984031936,YES,NO
2016-11-28,2017-01-10,Anomaly,,Normal,1.996007984031936,YES,NO
2016-12-05,2017-01-17,Anomaly,,Normal,1.996007984031936,NO,YES
2016-12-12,2017-01-24,Anomaly,,Normal,1.2974051896207586,YES,NO
2016-12-19,2017-01-31,Normal,,Normal,1.2079831932773109,YES,NO
2016-12-26,2017-02-07,Normal,,Normal,1.2749445676274944,YES,NO
2017-01-01,2017-02-13,Normal,Normal,Normal,1.2195121951219512,YES,NO
2017-01-08,2017-02-20,Normal,Normal,Normal,1.2195121951219512,YES,NO
2017-01-15,2017-02-27,Normal,Normal,Normal,1.2416851441241683,NO,YES
2017-01-22,2017-03-06,Normal,Normal,Normal,1.2416851441241683,YES,NO
2017-01-29,2017-03-13,Normal,Normal,Normal,1.2416851441241683,YES,NO
2017-02-05,2017-03-20,Normal,Normal,Normal,1.2416851441241683,YES,NO
2017-02-12,2017-03-27,Normal,Normal,Normal,1.2416851441241683,NO,YES
2017-02-19,2017-04-03,Normal,Normal,Normal,1.2416851441241683,NO,YES
2017-02-26,2017-04-10,Normal,Normal,Normal,1.3303769401330376,YES,NO
2017-03-05,2017-04-17,Normal,Normal,Normal,1.3303769401330376,YES,NO
2017-03-12,2017-04-24,Normal,Normal,Normal,1.3303769401330376,NO,YES
2017-03-19,2017-05-01,Normal,Normal,Normal,1.3303769401330376,YES,NO
2017-03-26,2017-05-08,Normal,Normal,Normal,1.3303769401330376,YES,NO
2017-04-02,2017-05-15,Normal,Normal,Normal,1.3303769401330376,YES,NO
2017-04-09,2017-05-22,Normal,Normal,Normal,1.1554621848739497,NO,YES
2017-04-16,2017-05-29,Normal,Anomaly,Normal,1.131687242798354,NO,YES
2017-04-23,2017-06-05,Normal,Anomaly,Normal,1.3888888888888888,NO,YES
2017-04-30,2017-06-12,Normal,Anomaly,Normal,1.440329218106996,NO,YES
2017-05-07,2017-06-19,Normal,Anomaly,Normal,1.5432098765432098,NO,NO
2017-05-14,2017-06-26,Normal,Anomaly,Normal,1.497005988023952,NO,NO
2017-05-21,2017-07-03,Normal,Anomaly,Normal,1.497005988023952,NO,YES
2017-05-28,2017-07-10,Normal,Anomaly,Normal,1.497005988023952,YES,NO
2017-06-04,2017-07-17,Normal,Anomaly,Normal,1.497005988023952,YES,NO
2017-06-11,2017-07-24,Normal,Anomaly,Normal,1.497005988023952,YES,NO
2017-06-18,2017-07-31,Normal,Anomaly,Normal,1.4471057884231535,YES,NO
2017-06-25,2017-08-07,Normal,Anomaly,Normal,1.3173652694610778,YES,NO
2017-07-02,2017-08-14,Normal,Anomaly,Normal,1.3173652694610778,YES,NO
2017-07-09,2017-08-21,Normal,Anomaly,Normal,1.3173652694610778,YES,NO
2017-07-16,2017-08-28,Normal,Anomaly,Normal,1.3173652694610778,YES,NO
2017-07-23,2017-09-04,Anomaly,Anomaly,Normal,1.1976047904191616,YES,NO
2017-07-30,2017-09-11,Normal,Anomaly,Normal,1.1976047904191616,YES,NO
2017-08-06,2017-09-18,Normal,Anomaly,Normal,1.3303769401330376,YES,NO
2017-08-13,2017-09-25,Normal,Anomaly,Normal,1.3303769401330376,YES,NO
2017-08-20,2017-10-02,Normal,Anomaly,Normal,1.164079822616408,YES,NO
2017-08-27,2017-10-09,Normal,Anomaly,Normal,1.164079822616408,YES,NO
2017-09-03,2017-10-16,Normal,Anomaly,Normal,1.164079822616408,YES,NO
2017-09-10,2017-10-23,Normal,Anomaly,Normal,1.1971830985915493,YES,NO
2017-09-17,2017-10-30,Normal,Anomaly,Normal,1.408450704225352,NO,YES
2017-09-24,2017-11-06,Normal,Anomaly,Normal,1.408450704225352,NO,YES
2017-10-01,2017-11-13,Normal,Anomaly,Normal,1.408450704225352,YES,NO
2017-10-08,2017-11-20,Normal,Anomaly,Normal,1.408450704225352,YES,NO
2017-10-15,2017-11-27,Normal,Anomaly,Normal,1.4962593516209477,NO,YES
2017-10-22,2017-12-04,Normal,Anomaly,Normal,1.4962593516209477,YES,NO
2017-10-29,2017-12-11,Normal,Normal,Normal,1.4962593516209477,YES,NO
2017-11-05,2017-12-18,Normal,Normal,Normal,1.6209476309226931,NO,YES
2017-11-12,2017-12-25,Anomaly,Normal,Normal,1.6209476309226931,NO,YES
2017-11-19,2018-01-01,Anomaly,Normal,Normal,1.6209476309226931,NO,YES
2017-11-26,2018-01-08,Normal,Normal,Normal,1.6209476309226931,NO,YES
2017-12-03,2018-01-15,Normal,Normal,Normal,1.6209476309226931,NO,YES
2017-12-10,2018-01-22,Normal,Normal,Normal,1.6209476309226931,NO,YES
2017-12-17,2018-01-29,Normal,Normal,Normal,1.1796733212341195,YES,NO
2017-12-24,2018-02-05,Normal,Normal,Normal,1.2574850299401197,YES,NO
2017-12-31,2018-02-12,Normal,Normal,Normal,1.2574850299401197,YES,NO
2018-01-07,2018-02-19,Normal,Normal,Normal,1.2574850299401197,YES,NO
2018-01-14,2018-02-26,Normal,Normal,Normal,1.2974051896207586,YES,NO
2018-01-21,2018-03-05,Normal,Normal,Normal,1.3972055888223551,YES,NO
2018-01-28,2018-03-12,Normal,Normal,Normal,1.6966067864271457,YES,NO
2018-02-04,2018-03-19,Normal,Normal,Normal,1.7365269461077844,NO,NO
2018-02-11,2018-03-26,Normal,Normal,Normal,1.541155866900175,NO,NO
2018-02-18,2018-04-02,Normal,Normal,Normal,1.5364583333333333,YES,NO
2018-02-25,2018-04-09,Normal,Normal,Normal,1.549520766773163,NO,NO
2018-03-04,2018-04-16,Normal,Normal,Normal,1.5648286140089418,NO,NO
2018-03-11,2018-04-23,Normal,Normal,Normal,1.4612994639310637,NO,NO
2018-03-18,2018-04-30,Normal,Normal,Normal,1.7643142476697735,NO,YES
2018-03-25,2018-05-07,Normal,Normal,Normal,1.5981735159817352,NO,NO
2018-04-01,2018-05-14,Normal,Normal,Normal,1.5981735159817352,NO,NO
2018-04-08,2018-05-21,Normal,Normal,Normal,1.4721345951629865,NO,NO
2018-04-15,2018-05-28,Normal,Normal,Normal,1.3579049466537343,NO,NO
2018-04-22,2018-06-04,Normal,Normal,Normal,1.3127344168852744,NO,NO
2018-04-29,2018-06-11,Normal,Normal,Normal,1.1656952539550374,NO,NO
2018-05-06,2018-06-18,Normal,Normal,Normal,1.1240632805995003,NO,NO
2018-05-13,2018-06-25,Normal,Normal,Normal,1.144879267277269,NO,NO
2018-05-20,2018-07-02,Normal,Normal,Normal,1.144879267277269,NO,NO
2018-05-27,2018-07-09,Normal,Normal,Normal,1.144879267277269,NO,NO
2018-06-03,2018-07-16,Normal,Normal,Normal,1.144879267277269,NO,NO
2018-06-10,2018-07-23,Normal,Normal,Normal,1.144879267277269,NO,NO
2018-06-17,2018-07-30,Normal,Normal,Normal,1.144879267277269,NO,NO
2018-06-24,2018-08-06,Normal,Normal,Normal,1.1240632805995003,NO,NO
2018-07-01,2018-08-13,Normal,Normal,Normal,1.120873298208329,NO,NO
2018-07-08,2018-08-20,Normal,Normal,Normal,1.120873298208329,NO,NO
2018-07-15,2018-08-27,Normal,Normal,Normal,1.120873298208329,NO,NO
2018-07-22,2018-09-03,Normal,Normal,Normal,1.1240632805995003,NO,NO
2018-07-29,2018-09-10,Normal,Normal,Normal,1.1240632805995003,NO,NO
2018-08-05,2018-09-17,Normal,Normal,Normal,1.1240632805995003,NO,NO
2018-08-12,2018-09-24,Normal,Normal,Normal,1.1240632805995003,NO,NO
2018-08-19,2018-10-01,Normal,Normal,Normal,1.1240632805995003,NO,NO
2018-08-26,2018-10-08,Normal,Normal,Normal,1.1728931364031276,NO,NO
2018-09-02,2018-10-15,Normal,Normal,Normal,1.3032145960034751,NO,NO
2018-09-09,2018-10-22,Normal,Normal,Normal,1.3032145960034751,NO,NO
2018-09-16,2018-10-29,Normal,Normal,Normal,1.3032145960034751,NO,NO
2018-09-23,2018-11-05,Normal,Normal,Normal,1.3032145960034751,NO,NO
2018-09-30,2018-11-12,Normal,Normal,Normal,1.3032145960034751,NO,NO
2018-10-07,2018-11-19,Normal,Normal,Normal,1.2489592006661117,NO,NO
2018-10-14,2018-11-26,Normal,Normal,Normal,1.1511728931364031,NO,NO
2018-10-21,2018-12-03,Normal,Normal,Normal,1.7643142476697735,NO,YES
2018-10-28,2018-12-10,Normal,Normal,Normal,1.664447403462051,NO,NO
2018-11-04,2018-12-17,Normal,Normal,Normal,1.7475035663338088,NO,YES
2018-11-11,2018-12-24,Normal,Normal,Normal,2.038269550748752,NO,YES
2018-11-18,2018-12-31,Anomaly,Normal,Normal,2.0299500831946755,NO,YES
2018-11-25,2019-01-07,Anomaly,Normal,Normal,1.9301164725457567,NO,YES
2018-12-02,2019-01-14,Anomaly,Normal,Normal,1.663893510815308,YES,NO
2018-12-09,2019-01-21,Anomaly,Normal,Normal,1.7890772128060264,YES,NO
2018-12-16,2019-01-28,Normal,Normal,Normal,1.3182674199623352,YES,NO
2018-12-23,2019-02-04,Normal,Normal,Normal,1.2241054613935969,YES,NO
2018-12-30,2019-02-11,Anomaly,Normal,Normal,1.2241054613935969,YES,NO
2019-01-06,2019-02-18,Normal,Normal,Normal,1.177024482109228,YES,NO
2019-01-13,2019-02-25,Normal,Normal,Normal,1.217564870259481,YES,NO
2019-01-20,2019-03-04,Normal,Normal,Normal,1.217564870259481,NO,YES
2019-01-27,2019-03-11,Normal,Normal,Normal,1.3972055888223551,YES,NO
2019-02-03,2019-03-18,Normal,Normal,Normal,1.4471057884231535,YES,NO
2019-02-10,2019-03-25,Normal,Normal,Normal,1.4471057884231535,NO,NO
2019-02-17,2019-04-01,Normal,Normal,Normal,1.4471057884231535,NO,NO
2019-02-24,2019-04-08,Normal,Normal,Normal,1.4471057884231535,NO,YES
2019-03-03,2019-04-15,Normal,Normal,Normal,1.3157894736842106,YES,NO
2019-03-10,2019-04-22,Normal,Normal,Normal,1.207729468599034,YES,NO
2019-03-17,2019-04-29,Normal,Normal,Normal,1.288244766505636,YES,NO
2019-03-24,2019-05-06,Normal,Normal,Normal,1.3150831991009124,YES,NO
2019-03-31,2019-05-13,Normal,Normal,Normal,1.4436392914508855,YES,NO
2019-04-07,2019-05-20,Normal,Normal,Normal,1.4592933947772655,YES,NO
2019-04-14,2019-05-27,Normal,Normal,Normal,1.4265335235378032,YES,NO
2019-04-21,2019-06-03,Normal,Normal,Normal,1.3679890560875514,NO,NO
2019-04-28,2019-06-10,Normal,Normal,Normal,1.3315579227696406,NO,NO
2019-05-05,2019-06-17,Normal,Normal,Normal,1.2484394506866416,NO,NO
2019-05-12,2019-06-24,Normal,Normal,Normal,1.1415525114155252,NO,NO
2019-05-19,2019-07-01,Normal,Normal,Normal,1.1415525114155252,NO,NO
2019-05-26,2019-07-08,Normal,Normal,Normal,1.145710928319624,NO,NO
2019-06-02,2019-07-15,Normal,Normal,Normal,1.2172284644194755,NO,NO
2019-06-09,2019-07-22,Normal,Normal,Normal,1.2172284644194755,NO,YES
2019-06-16,2019-07-29,Normal,Normal,Normal,1.1860174781523096,NO,YES
2019-06-23,2019-08-05,Normal,Normal,Normal,1.1860174781523096,NO,YES
2019-06-30,2019-08-12,Anomaly,Normal,Normal,1.1860174781523096,NO,YES
2019-07-07,2019-08-19,Anomaly,Normal,Normal,1.1860174781523096,NO,YES
2019-07-14,2019-08-26,Anomaly,Normal,Normal,1.2649800266311584,NO,YES
2019-07-21,2019-09-02,Anomaly,Normal,Normal,1.355206847360913,NO,YES
2019-07-28,2019-09-09,Anomaly,Normal,Anomaly,1.355206847360913,NO,YES
2019-08-04,2019-09-16,Anomaly,Normal,Anomaly,1.2838801711840229,NO,YES
2019-08-11,2019-09-23,Anomaly,Normal,Normal,1.2838801711840229,NO,YES
2019-08-18,2019-09-30,Anomaly,Normal,Normal,1.3373751783166905,NO,NO
2019-08-25,2019-10-07,Anomaly,Normal,Anomaly,1.4978601997146932,YES,NO
2019-09-01,2019-10-14,Anomaly,Normal,Anomaly,1.5335235378031384,YES,NO
2019-09-08,2019-10-21,Anomaly,Normal,Anomaly,1.5335235378031384,YES,NO
2019-09-15,2019-10-28,Normal,Normal,Anomaly,1.4314247669773634,NO,NO
2019-09-22,2019-11-04,Normal,Normal,Anomaly,1.4314247669773634,NO,NO
2019-09-29,2019-11-11,Normal,Normal,Normal,1.529338327091136,NO,NO
2019-10-06,2019-11-18,Normal,Normal,Normal,1.4394829612220916,NO,NO
2019-10-13,2019-11-25,Normal,Normal,Normal,1.3596004439511653,NO,NO
2019-10-20,2019-12-02,Anomaly,Normal,Normal,1.3596004439511653,NO,NO
2019-10-27,2019-12-09,Normal,Normal,Normal,1.664816870144284,NO,NO
2019-11-03,2019-12-16,Normal,Normal,Normal,1.7875920084121977,NO,NO
2019-11-10,2019-12-23,Normal,Normal,Normal,1.8954918032786885,NO,NO
2019-11-17,2019-12-30,Normal,Normal,Normal,1.8954918032786885,NO,NO
2019-11-24,2020-01-06,Normal,Normal,Normal,1.848151848151848,NO,NO
2019-12-01,2020-01-13,Normal,Normal,Normal,1.7602283539486203,NO,NO
2019-12-08,2020-01-20,Normal,Normal,Normal,1.5403830141548709,NO,NO
2019-12-15,2020-01-27,Normal,Normal,Normal,1.5403830141548709,NO,NO
2019-12-22,2020-02-03,Anomaly,Normal,Normal,1.730019493177388,NO,NO
2019-12-29,2020-02-10,Anomaly,Normal,Normal,1.5984015984015985,NO,NO
2020-01-05,2020-02-17,Anomaly,Normal,Anomaly,1.588114754098361,NO,NO
2020-01-12,2020-02-24,Anomaly,Normal,Normal,1.485655737704918,NO,NO
2020-01-19,2020-03-02,Anomaly,Normal,Normal,1.485655737704918,NO,NO
2020-01-26,2020-03-09,Anomaly,Normal,Normal,1.4651639344262295,NO,NO
2020-02-02,2020-03-16,Anomaly,Normal,Normal,1.536885245901639,NO,NO
2020-02-09,2020-03-23,Normal,Anomaly,Normal,1.7418032786885247,NO,NO
2020-02-16,2020-03-30,Normal,Anomaly,Normal,1.579925650557621,NO,NO
2020-02-23,2020-04-06,Normal,Anomaly,Normal,1.4154870940882598,NO,NO
2020-03-01,2020-04-13,Normal,Anomaly,Normal,1.306687163720215,NO,NO
2020-03-08,2020-04-20,Normal,Anomaly,Normal,1.2134189864382583,NO,NO
2020-03-15,2020-04-27,Normal,Anomaly,Normal,1.1732503597154968,NO,NO
2020-03-22,2020-05-04,Normal,Anomaly,Normal,1.1732503597154968,NO,NO
2020-03-29,2020-05-11,Normal,Anomaly,Normal,1.096067053513862,NO,NO
2020-04-05,2020-05-18,Normal,Anomaly,Normal,1.1103853690398433,NO,NO
2020-04-12,2020-05-25,Normal,Normal,Normal,1.2001912305351323,NO,NO
2020-04-19,2020-06-01,Normal,Anomaly,Normal,1.2001912305351323,NO,NO
2020-04-26,2020-06-08,Normal,Normal,Normal,1.2001912305351323,NO,NO
2020-05-03,2020-06-15,Normal,Normal,Normal,1.2410189418680602,NO,NO
2020-05-10,2020-06-22,Normal,Anomaly,Normal,1.2410189418680602,NO,NO
2020-05-17,2020-06-29,Normal,Anomaly,Normal,1.2572533849129597,NO,NO
2020-05-24,2020-07-06,Normal,Anomaly,Normal,1.2894906511927788,NO,NO
2020-05-31,2020-07-13,Normal,Anomaly,Normal,1.4506769825918762,NO,NO
2020-06-07,2020-07-20,Normal,Anomaly,Normal,1.3837638376383763,NO,NO
2020-06-14,2020-07-27,Normal,Anomaly,Normal,1.350621285791464,NO,NO
2020-06-21,2020-08-03,Normal,Anomaly,Normal,1.3859275053304905,NO,NO
2020-06-28,2020-08-10,Normal,Anomaly,Normal,1.3326499231163509,NO,NO
2020-07-05,2020-08-17,Normal,Anomaly,Normal,1.2993503248375813,NO,NO
2020-07-12,2020-08-24,Normal,Anomaly,Normal,1.208740120874012,NO,NO
2020-07-19,2020-08-31,Normal,Anomaly,Normal,1.192113709307657,NO,NO
2020-07-26,2020-09-07,Normal,Anomaly,Normal,1.1812812358019082,NO,NO
2020-08-02,2020-09-14,Normal,Anomaly,Normal,1.1448701012769704,NO,NO
2020-08-09,2020-09-21,Normal,Anomaly,Normal,1.0942760942760943,NO,NO
2020-08-16,2020-09-28,Normal,Anomaly,Normal,1.0828821324448146,NO,NO
2020-08-23,2020-10-05,Normal,Anomaly,Normal,1.1986997155627794,NO,NO
2020-08-30,2020-10-12,Normal,Anomaly,Normal,1.187648456057007,NO,NO
2020-09-06,2020-10-19,Normal,Anomaly,Normal,1.195609564876519,NO,NO
2020-09-13,2020-10-26,Normal,Anomaly,Normal,1.3132105056840455,NO,NO
2020-09-20,2020-11-02,Normal,Anomaly,Normal,1.2879661668589004,NO,NO
2020-09-27,2020-11-09,Normal,Anomaly,Normal,1.2879661668589004,NO,NO
2020-10-04,2020-11-16,Normal,Anomaly,Normal,1.2879661668589004,NO,NO
2020-10-11,2020-11-23,Normal,Anomaly,Normal,1.25186846038864,NO,NO
2020-10-18,2020-11-30,Normal,Anomaly,Normal,1.175026306559102,NO,NO
2020-10-25,2020-12-07,Normal,Anomaly,Normal,1.5992892047978675,NO,NO
2020-11-01,2020-12-14,Normal,Anomaly,Normal,1.9988895058300944,NO,NO
2020-11-08,2020-12-21,Normal,Anomaly,Normal,3.1277150304083405,NO,NO
2020-11-15,2020-12-28,Anomaly,Anomaly,Normal,3.2697547683923704,NO,NO
2020-11-22,2021-01-04,Anomaly,Normal,Normal,3.5964035964035963,NO,NO
2020-11-29,2021-01-11,Anomaly,Normal,Anomaly,4.793608521970706,NO,YES
2020-12-06,2021-01-18,Anomaly,Normal,Anomaly,3.698224852071006,NO,YES
2020-12-13,2021-01-25,Anomaly,Anomaly,Anomaly,2.662721893491124,NO,YES
2020-12-20,2021-02-01,Anomaly,Anomaly,Anomaly,1.8433179723502304,NO,YES
2020-12-27,2021-02-08,Anomaly,Anomaly,Normal,1.7665130568356375,NO,YES
2021-01-03,2021-02-15,Anomaly,Anomaly,Normal,1.7470881863560732,YES,NO
2021-01-10,2021-02-22,Anomaly,Anomaly,Normal,1.3311148086522462,YES,NO
2021-01-17,2021-03-01,Anomaly,Anomaly,Normal,1.2479201331114809,YES,NO
2021-01-24,2021-03-08,Normal,Anomaly,Normal,1.447587354409318,YES,NO
2021-01-31,2021-03-15,Normal,Anomaly,Normal,1.447587354409318,YES,NO
2021-02-07,2021-03-22,Normal,Anomaly,Normal,1.447587354409318,YES,NO
2021-02-14,2021-03-29,Normal,Anomaly,Normal,1.447587354409318,YES,NO
2021-02-21,2021-04-05,Normal,Anomaly,Normal,1.3824884792626728,YES,NO
2021-02-28,2021-04-12,Normal,Anomaly,Normal,1.3880715615680117,YES,NO
2021-03-07,2021-04-19,Normal,Normal,Normal,1.2982689747003997,NO,NO
2021-03-14,2021-04-26,Normal,Normal,Normal,1.4218079612186032,NO,NO
2021-03-21,2021-05-03,Normal,Normal,Normal,1.4647137150466043,NO,NO
2021-03-28,2021-05-10,Normal,Normal,Normal,1.49812734082397,NO,NO
2021-04-04,2021-05-17,Normal,Normal,Normal,1.4538258398007742,NO,NO
2021-04-11,2021-05-24,Normal,Normal,Normal,1.3188951650680385,NO,NO
2021-04-18,2021-05-31,Normal,Normal,Normal,1.3210565192381252,NO,NO
2021-04-25,2021-06-07,Normal,Normal,Normal,1.2238758905436125,NO,NO
2021-05-02,2021-06-14,Normal,Normal,Normal,1.1831170782440248,NO,NO
2021-05-09,2021-06-21,Normal,Normal,Normal,1.0938556136537054,NO,NO
2021-05-16,2021-06-28,Normal,Normal,Normal,1.0563745040462815,NO,NO
2021-05-23,2021-07-05,Normal,Normal,Normal,1.0299874430181435,NO,NO
2021-05-30,2021-07-12,Normal,Anomaly,Normal,1.0115993867998414,NO,NO
